Gender,Political,ClimHarm,KnowClim
Male,No party,5,4
Female,Democrat,5,4
Female,No party,3,2
Female,Republican,4,2
Female,Independent,3,3
Female,No party,5,3
Male,No party,3,3
Female,No party,5,3
Male,Republican,2,2
Female,No party,5,2
Female,Democrat,5,4
Female,Democrat,5,2
Male,Democrat,4,1
Female,No party,3,1
Male,Democrat,4,4
Female,Democrat,5,4
Male,Democrat,5,3
Female,No party,4,2
Female,Democrat,5,3
Male,Democrat,5,2
Female,Democrat,5,3
Male,Democrat,5,4
Female,Democrat,4,3
Male,Republican,3,2
Male,Republican,4,3
Female,Independent,4,1
Male,Independent,5,3
Female,Democrat,5,3
Male,Republican,2,2
Female,Republican,5,3
Female,Other party,5,2
Female,Democrat,5,2
Female,Democrat,5,3
Male,Democrat,5,3
Female,Democrat,5,2
Female,Democrat,3,3
Male,Democrat,5,3
Female,No party,5,3
Female,Independent,4,3
Female,No party,4,3
Male,Democrat,5,4
Female,No party,5,4
Male,Republican,1,1
Female,Independent,5,2
Female,Democrat,5,2
Male,Democrat,5,4
Male,No party,2,1
Female,Independent,5,3
Female,Independent,4,3
Female,Democrat,5,2
Female,Democrat,4,2
Female,Democrat,5,3
Female,No party,4,3
Male,Democrat,4,4
Female,Republican,3,1
Female,Democrat,4,2
Female,Democrat,5,3
Male,Democrat,5,4
Female,No party,5,3
Female,Democrat,,
Male,Republican,3,3
Female,Libertarian,5,1
Female,No party,5,2
Male,Republican,4,3
Female,Independent,3,3
Female,Other party,5,3
Male,Independent,5,3
Female,No party,5,2
Male,No party,5,5
Female,Independent,5,3
Male,Democrat,5,3
Female,Democrat,4,1
Female,Democrat,4,3
Female,Democrat,5,3
Female,Independent,5,3
Female,Republican,5,3
Female,Democrat,5,4
Female,Republican,5,2
Male,Democrat,5,4
Male,Republican,4,2
Female,Democrat,5,4
Female,No party,4,2
Female,Democrat,4,2
Female,No party,5,3
Male,Democrat,3,1
Male,Republican,3,3
Female,Independent,4,3
Female,No party,4,2
Female,Democrat,5,3
Female,Democrat,5,4
Female,No party,4,2
Male,Libertarian,5,4
Male,Democrat,3,3
Female,Democrat,5,3
Female,Democrat,5,3
Male,Democrat,4,2
Male,Republican,2,1
Male,No party,4,3
Female,Democrat,5,4
Male,No party,4,2
Female,No party,5,2
Female,No party,5,4
Male,Republican,3,2
Female,Democrat,3,3
Male,Democrat,5,3
Female,Democrat,4,2
Female,No party,5,2
Female,Independent,5,3
Female,Democrat,4,3
Male,Republican,2,2
Female,Democrat,5,4
Female,Democrat,5,2
Female,Democrat,5,4
Male,No party,2,3
Female,Republican,5,1
Female,Libertarian,4,3
Male,Democrat,5,3
Female,No party,5,2
Female,Independent,5,3
Male,Democrat,5,3
Female,Republican,3,2
Female,Republican,5,3
Female,Democrat,5,3
Female,Democrat,4,3
Male,No party,2,2
Female,Independent,4,3
Female,Independent,5,4
Female,No party,4,3
