Cond.X,Correct.Y
N,7
N,8
N,7
N,8
N,8
N,8
N,7
N,9
N,7
N,8
N,7
N,7
N,9
N,7
N,9
N,6
N,8
N,8
N,7
N,8
N,7
N,8
N,8
N,9
N,9
N,8
N,7
N,8
N,9
N,7
N,8
N,8
N,7
N,10
N,9
N,8
N,7
N,8
N,8
N,8
T,8
T,9
T,8
T,7
T,8
T,7
T,9
T,8
T,9
T,7
T,8
T,8
T,7
T,8
T,8
T,9
T,8
T,8
T,7
T,7
T,8
T,6
T,8
T,7
T,7
T,8
T,9
T,8
T,7
T,8
T,9
T,8
T,9
T,7
T,8
T,7
T,8
T,10
T,8
T,9
C,9
C,10
C,8
C,10
C,9
C,10
C,10
C,9
C,10
C,8
C,9
C,9
C,10
C,9
C,8
C,9
C,10
C,10
C,10
C,9
C,9
C,7
C,9
C,10
C,9
C,10
C,8
C,8
C,8
C,9
C,10
C,8
C,10
C,10
C,10
C,10
C,7
C,10
C,7
C,9
